набор параметров	Prob (F-statistic):	Adj. R-squared: 	Durbin-Watson: 	
lang_tokens_ln ~ ' + ' + '.join(region_status)	0.125	0.129	1.823	
lang_tokens_ln ~ lang_number_2010_ln + region_rating_position2014 + region_rating_indx2014	0.00000166	0.483	1.549	
lang_tokens_ln ~ lang_number_2010_ln + ' + ' + '.join(region_status)	0.000299	0.468	1.487	
lang_tokens_ln ~ lang_number_2010_ln + C(region_FedDistrict)	0.0000469	0.497	1.485	
lang_tokens_ln ~ lang_number_2010_ln + region_rating_position2014	0.000000369	0.491	1.616	
lang_tokens_ln ~ lang_number_2010_ln + region_rating_indx2014	0.000000401	0.489	1.537	
lang_tokens_ln ~ lang_number_2010_ln	5.12E-008	0.499	1.589	
lang_tokens_ln ~ lang_number_2010_ln + C(iso_code)	0.000000315	0.495	1.597	
lang_tokens_ln ~ ' + ' + '.join(papers)	0.0000216	0.41	1.946	
lang_tokens_ln ~ lang_number_2010_ln + ' + ' + '.join(papers)	0.00000122	0.517	1.707	
lang_tokens_ln ~ lang_number_2010_ln + lang_number_books_2009_ln	0.000000252	0.5	1.528	
lang_tokens_ln ~ lang_number_books_2009_ln	0.0000686	0.301	1.555	
lang_tokens_ln ~ lang_circulation_books_2009_ln	0.000192	0.268	1.403	
lang_tokens_ln ~ lang_number_books_2009_ln + lang_number_magazin_1996_ln	0.0000105	0.401	1.858	оба значимы
lang_tokens_ln ~ lang_number_books_2009_ln + lang_number_newspapers_1996_ln	0.00000802	0.408	1.919	оба значимы
lang_tokens_ln ~ lang_number_magazin_1996_ln + lang_number_newspapers_1996_ln	0.000172	0.313	2.057	
lang_tokens_ln ~ lang_number_2010_ln + lang_number_books_2009_ln + lang_number_magazin_1996_ln	0.000000514	0.513	1.692	
lang_tokens_ln ~ lang_number_2010_ln + lang_number_books_2009_ln + lang_number_newspapers_1996_ln	0.00000028	0.528	1.682	
lang_tokens_ln ~ lang_number_2010_ln + lang_number_magazin_1996_ln + lang_number_newspapers_1996_ln	0.000000355	0.522	1.718	
urls_ln ~ lang_number_books_2009_ln + lang_number_newspapers_1996_ln	0.000000736	0.473	2.037	оба значимы
urls_ln ~ lang_number_2010_ln + lang_number_books_2009_ln + lang_number_newspapers_1996_ln	0.000000121	0.548	1.997	
urls_ln ~ lang_number_2010_ln + lang_number_books_2009_ln + lang_number_newspapers_1996_ln + lang_number_magazin_1996_ln	0.000000553	0.537	2.003	
urls_ln ~ lang_number_2010_ln + lang_number_books_2009_ln	0.000000227	0.503	1.915	
urls_ln ~ lang_number_magazin_1996_ln + lang_number_newspapers_1996_ln	0.0000548	0.35	1.892	
urls_ln ~ lang_number_2010_ln + lang_number_magazin_1996_ln + lang_number_newspapers_1996_ln	0.000000295	0.527	1.944	
urls_ln ~ lang_number_2010_ln	0.000000117	0.479	1.935	
'lang_tokens_ln ~ ' + ' + '.join(budget)	0.0369	0.146	1.548	
lang_tokens_ln ~ lang_number_2010_ln + ' + ' + '.join(budget)	0.000000468	0.564	1.486	
lang_tokens_ln ~ lang_number_2010_ln + region_budget_emoluments2014	3.78E-008	0.544	1.478	оба значимы
lang_tokens_ln ~ region_budget_emoluments2014	0.0016	0.195	1.55	
lang_tokens_ln ~ region_budget_cost2014	0.00155	0.196	1.55	
lang_tokens_ln ~ lang_number_2010_ln + region_budget_cost2014 + region_budget_emoluments2014	0.00000012	0.548	1.527	
lang_tokens_ln ~ lang_number_2010_ln + region_budget_cost2014	0.000000048	0.539	1.475	
lang_tokens_ln ~ lang_number_2010_ln + region_budget_cost2014 + region_sr_dush_doxod2010	0.000000202	0.536	1.523	
lang_tokens_ln ~ lang_number_2010_ln + region_budget_cost2014 + region_sr_mes_zp_2010	0.000000139	0.544	1.491	
lang_tokens_ln ~ lang_number_2010_ln + region_budget_cost2014 + region_sr_dush_doxod2010 + region_sr_mes_zp_2010	0.000000591	0.535	1.438	
lang_tokens_ln ~ lang_number_2010_ln + region_budget_emoluments2014 + region_sr_dush_doxod2010 + region_sr_mes_zp_2010	0.000000418	0.544	1.442	
lang_tokens_ln ~ lang_number_2010_ln + region_budget_emoluments2014 + region_sr_mes_zp_2010	0.000000095	0.553	1.491	
urls_ln ~ lang_number_2010_ln + region_budget_emoluments2014 + region_sr_mes_zp_2010	0.000000257	0.53	1.894	
urls_ln ~ lang_number_2010_ln + region_budget_emoluments2014	7.72E-008	0.528	1.895	оба значимы
urls_ln ~ lang_number_2010_ln + region_budget_emoluments2014 + region_budget_cost2014	0.000000383	0.52	1.914	
